id;libelle;ordre;code;obligatoire;question_type
1;Brand;68907;Vista Markets;true;question_ouverte
2;calculate violet RAM;87800;Granite Investment;true;question_ouverte
3;Profit-focused;73633;input group global;true;question_ouverte
4;Fish;5462;well-modulated;false;question_ouverte
5;Borders cohesive withdrawal;40573;Associate;false;question_ouverte
6;calculate Buckinghamshire empowering;93649;Awesome ivory;true;question_ouverte
7;Garden wireless;62679;Cheese Synergized Toys;true;question_ouverte
8;Way Dynamic USB;67549;metrics;false;question_ouverte
9;1080p;64983;asynchronous Dam;true;question_ouverte
10;context-sensitive yellow Turnpike;23371;Savings;true;question_ouverte
